T(ns):	ID1: 985740900	ID2: 318257127
@  15	M: 000000000	OUT_ALG: 1	OUT_DF: 1
@  30	M: 000000001	OUT_ALG: 0	OUT_DF: 0
@  45	M: 000000010	OUT_ALG: 0	OUT_DF: 0
@  60	M: 000000011	OUT_ALG: 0	OUT_DF: 0
@  75	M: 000000100	OUT_ALG: 0	OUT_DF: 0
@  90	M: 000000101	OUT_ALG: 0	OUT_DF: 0
@ 105	M: 000000110	OUT_ALG: 0	OUT_DF: 0
@ 120	M: 000000111	OUT_ALG: 0	OUT_DF: 0
@ 135	M: 000001000	OUT_ALG: 0	OUT_DF: 0
@ 150	M: 000001001	OUT_ALG: 0	OUT_DF: 0
@ 165	M: 000001010	OUT_ALG: 0	OUT_DF: 0
@ 180	M: 000001011	OUT_ALG: 0	OUT_DF: 0
@ 195	M: 000001100	OUT_ALG: 0	OUT_DF: 0
@ 210	M: 000001101	OUT_ALG: 0	OUT_DF: 0
@ 225	M: 000001110	OUT_ALG: 0	OUT_DF: 0
@ 240	M: 000001111	OUT_ALG: 0	OUT_DF: 0
@ 255	M: 000010000	OUT_ALG: 0	OUT_DF: 0
@ 270	M: 000010001	OUT_ALG: 0	OUT_DF: 0
@ 285	M: 000010010	OUT_ALG: 0	OUT_DF: 0
@ 300	M: 000010011	OUT_ALG: 0	OUT_DF: 0
@ 315	M: 000010100	OUT_ALG: 0	OUT_DF: 0
@ 330	M: 000010101	OUT_ALG: 0	OUT_DF: 0
@ 345	M: 000010110	OUT_ALG: 0	OUT_DF: 0
@ 360	M: 000010111	OUT_ALG: 0	OUT_DF: 0
@ 375	M: 000011000	OUT_ALG: 0	OUT_DF: 0
@ 390	M: 000011001	OUT_ALG: 0	OUT_DF: 0
@ 405	M: 000011010	OUT_ALG: 0	OUT_DF: 0
@ 420	M: 000011011	OUT_ALG: 0	OUT_DF: 0
@ 435	M: 000011100	OUT_ALG: 0	OUT_DF: 0
@ 450	M: 000011101	OUT_ALG: 0	OUT_DF: 0
@ 465	M: 000011110	OUT_ALG: 0	OUT_DF: 0
@ 480	M: 000011111	OUT_ALG: 0	OUT_DF: 0
@ 495	M: 000100000	OUT_ALG: 0	OUT_DF: 0
@ 510	M: 000100001	OUT_ALG: 0	OUT_DF: 0
@ 525	M: 000100010	OUT_ALG: 0	OUT_DF: 0
@ 540	M: 000100011	OUT_ALG: 0	OUT_DF: 0
@ 555	M: 000100100	OUT_ALG: 0	OUT_DF: 0
@ 570	M: 000100101	OUT_ALG: 0	OUT_DF: 0
@ 585	M: 000100110	OUT_ALG: 0	OUT_DF: 0
@ 600	M: 000100111	OUT_ALG: 0	OUT_DF: 0
@ 615	M: 000101000	OUT_ALG: 0	OUT_DF: 0
@ 630	M: 000101001	OUT_ALG: 0	OUT_DF: 0
@ 645	M: 000101010	OUT_ALG: 0	OUT_DF: 0
@ 660	M: 000101011	OUT_ALG: 0	OUT_DF: 0
@ 675	M: 000101100	OUT_ALG: 0	OUT_DF: 0
@ 690	M: 000101101	OUT_ALG: 0	OUT_DF: 0
@ 705	M: 000101110	OUT_ALG: 0	OUT_DF: 0
@ 720	M: 000101111	OUT_ALG: 0	OUT_DF: 0
@ 735	M: 000110000	OUT_ALG: 0	OUT_DF: 0
@ 750	M: 000110001	OUT_ALG: 0	OUT_DF: 0
@ 765	M: 000110010	OUT_ALG: 0	OUT_DF: 0
@ 780	M: 000110011	OUT_ALG: 0	OUT_DF: 0
@ 795	M: 000110100	OUT_ALG: 0	OUT_DF: 0
@ 810	M: 000110101	OUT_ALG: 0	OUT_DF: 0
@ 825	M: 000110110	OUT_ALG: 0	OUT_DF: 0
@ 840	M: 000110111	OUT_ALG: 0	OUT_DF: 0
@ 855	M: 000111000	OUT_ALG: 0	OUT_DF: 0
@ 870	M: 000111001	OUT_ALG: 0	OUT_DF: 0
@ 885	M: 000111010	OUT_ALG: 0	OUT_DF: 0
@ 900	M: 000111011	OUT_ALG: 0	OUT_DF: 0
@ 915	M: 000111100	OUT_ALG: 0	OUT_DF: 0
@ 930	M: 000111101	OUT_ALG: 0	OUT_DF: 0
@ 945	M: 000111110	OUT_ALG: 0	OUT_DF: 0
@ 960	M: 000111111	OUT_ALG: 0	OUT_DF: 0
@ 975	M: 001000000	OUT_ALG: 0	OUT_DF: 0
@ 990	M: 001000001	OUT_ALG: 0	OUT_DF: 0
@1005	M: 001000010	OUT_ALG: 0	OUT_DF: 0
@1020	M: 001000011	OUT_ALG: 0	OUT_DF: 0
@1035	M: 001000100	OUT_ALG: 0	OUT_DF: 0
@1050	M: 001000101	OUT_ALG: 0	OUT_DF: 0
@1065	M: 001000110	OUT_ALG: 0	OUT_DF: 0
@1080	M: 001000111	OUT_ALG: 0	OUT_DF: 0
@1095	M: 001001000	OUT_ALG: 0	OUT_DF: 0
@1110	M: 001001001	OUT_ALG: 0	OUT_DF: 0
@1125	M: 001001010	OUT_ALG: 0	OUT_DF: 0
@1140	M: 001001011	OUT_ALG: 0	OUT_DF: 0
@1155	M: 001001100	OUT_ALG: 0	OUT_DF: 0
@1170	M: 001001101	OUT_ALG: 0	OUT_DF: 0
@1185	M: 001001110	OUT_ALG: 0	OUT_DF: 0
@1200	M: 001001111	OUT_ALG: 0	OUT_DF: 0
@1215	M: 001010000	OUT_ALG: 0	OUT_DF: 0
@1230	M: 001010001	OUT_ALG: 0	OUT_DF: 0
@1245	M: 001010010	OUT_ALG: 0	OUT_DF: 0
@1260	M: 001010011	OUT_ALG: 0	OUT_DF: 0
@1275	M: 001010100	OUT_ALG: 0	OUT_DF: 0
@1290	M: 001010101	OUT_ALG: 0	OUT_DF: 0
@1305	M: 001010110	OUT_ALG: 0	OUT_DF: 0
@1320	M: 001010111	OUT_ALG: 0	OUT_DF: 0
@1335	M: 001011000	OUT_ALG: 0	OUT_DF: 0
@1350	M: 001011001	OUT_ALG: 0	OUT_DF: 0
@1365	M: 001011010	OUT_ALG: 0	OUT_DF: 0
@1380	M: 001011011	OUT_ALG: 0	OUT_DF: 0
@1395	M: 001011100	OUT_ALG: 0	OUT_DF: 0
